Paper_ID,Author,Year,Title,Venue,Market,Price_Resolution,Data_Type,Data_Span,RL_Architecture,Algorithm,Function_Approximator,State_Space,Action_Space,Action_Type,Reward_Function,Degradation_Model,Multi_Market,Benchmark_Used,Test Period Length,Open Source Code,Multi_Seed,Statistical Validation,Q1: Reproducibility,Q2: Benchmark Rigour,Q3: Statistical Reporting,Q4: Market Fidelity,Q5: Evaluation Quality,Included,Quality_Total,Quality_Band
S1,J. Li et al.,2024,Temporal-Aware Deep Reinforcement Learning for Energy Storage Bidding in Energy and Contingency Reserve Markets,"IEEE Transactions on Energy Markets, Policy, and Regulation",NEM; Contingency FCAS,5-minute,Real,Jan-Dec 2016 (1 year),Model-Free DRL,SAC,Transformer,Historical Prices; Temporal Features; SoC,Continuous,Charge/Discharge + bids in spot/FCAS,Spot_Arbitrage_Revenue + Contingency_FCAS_Revenue - Degradation_Cost - Energy_Limit_Violation_Penalty,Linear Fixed Cost,Spot + Contingency FCAS,"Oracle MILP (PIO, full two-month evaluation horizon, valid bound); P&O",2 Months,No,Not Stated,None,0.5,1,0,1,0.5,1,3,Moderate
S2,M. Anwar et al.,2022,Proximal Policy Optimization Based Reinforcement Learning for Joint Bidding in Energy and Frequency Regulation Markets,IEEE Power & Energy Society General Meeting (PESGM),NEM; FCAS,5-minute,Hybrid (Real NEM; Synthetic FCAS),Jan 2016 - Mar 2017 (15 months),Model-Free DRL,PPO,DNN,Energy Stored; Spot Market Energy Price; Regulation Raise Price; Regulation Lower Price,Continuous,Charge/Discharge/Idle for both FCAS and NEM,Revenue at time t minus degradation cost,Linear Fixed Cost,FCAS + Spot,None,3 Months,No,Not Stated,None,0.5,0,0,1,1,1,2.5,Moderate
S3,X. Li et al.,2022,PPO-based Pricing Method for Shared Energy Storage System,2022 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia),VPP (price source unknown),1-hour,Real,1 year,Model-Free DRL,PPO (Selected),DNN,Total Storage Capacity; Total Energy Trading Quantity; Net Demand; Market Price,Continuous,Rental price offered by BESS operator,Rental revenue + VPP market revenue - degradation cost - price-constraint penalty,Linear Fixed Cost,VPP Market + Capacity Rental,None,Not Specified,No,Not Stated,None,0.5,0,0,0.5,0,1,1,Low
S4,L. He et al.,2021,Peer-to-peer energy sharing with battery storage: Energy pawn in the smart grid,,,,,,,Exclude E3,,,,,,,,,,,,,,,,,,0,,
S5,B. Wang et al.,2026,Optimal Scheduling Strategy of Wind-Thermal-Storage Multi-Energy Complementary System Based on Deep Reinforcement Learning,"2026 IEEE International Conference on Power, Electronics and Green Energy (ICPEGE)",,,,,,Exclude E2,,,,,,,,,,,,,,,,,,0,,
S6,Selim A.,2022,Optimal Scheduled Control Operation of Battery Energy Storage System using Model-Free Reinforcement Learning,2022 IEEE Sustainable Power and Energy Conference (iSPEC),NEM,5-minute,Real,1 Jun 2022 - 2 Jun 2022 (1 day),Model-Free DRL,DDPG (Selected),MLP,Net demand after solar (P_di); Instantaneous tariff price; Total system demand,Continuous,Power-sharing fractions between battery and grid,"-(grid import cost + battery usage penalty), where grid import cost = grid sharing fraction x tariff price x demand deficit, and battery usage penalty = battery sharing fraction x demand deficit; both terms are weighted equally",None,Energy Only,None,1 Day,No,Not Stated,None,0.5,0,0,1,0,1,1.5,Low
S7,J. Li et al.,2023,Optimal Energy Storage Scheduling for Wind Curtailment Reduction and Energy Arbitrage: A Deep Reinforcement Learning Approach,2023 IEEE Power & Energy Society General Meeting (PESGM),NEM,5-minute,Real,2018 (1 year),Model-Free DRL,TD3 (Selected),Not Stated,"Wind Agent: previous actual wind generation, previous spot price; BESS Agent: previous SoC, previous wind curtailment frequency, previous actual wind generation, previous spot price",Continuous,"Wind Agent: forecasted wind availability; BESS Agent: charge flag, discharge flag, spot-market bid power, curtailed-wind charging power",Wind farm: -(spot price * |bid wind power - actual wind power|). BESS: arbitrage reward (buy low sell high relative to moving-average spot price) + wind curtailment reduction reward,Linear Fixed Cost,Energy Only,Predict and Optimise (LSTM plus MILP),1 Month,No,Not Stated,None,0.5,0.5,0,1,0.5,1,2.5,Moderate
S8,P. Mao et al.,2025,Model-Free Learning System for Energy Management in Industrial Parks: A Bi-Level Deep Reinforcement Learning Architecture with Battery Degradation Estimation,China Automation Congress (CAC),Chinese Industrial Park (regulated Time-of-Use tariff structure),Not stated,Real,June 2024 - August 2024 (3 months),Hierarchical RL,DQN; DDPG,DNN,Upper Layer (DQN): predicted load; price; SoC; percentage battery capacity loss; grid electricity purchased. Lower Layer (DDPG): SoC; battery terminal voltage,Mixed (Discrete upper; Continuous lower),Upper Layer: select one of nine discrete power setpoints from maximum charge to maximum discharge. Lower Layer: continuous charging current,Upper Layer: 1.05 * price * load + price * action power - price * grid electricity purchased - degradation coefficient * % capacity loss * |action power|. Lower Layer: reward for reaching full charge (bonus when SoC = 1; otherwise negative term proportional to (1 - SoC)) - penalty when terminal voltage exceeds 4.2 V,Physics Informed,Energy Only,Rule-based (3CC-CV); Greedy; Ant Colony Optimization,Not stated,No,Not Stated,"Text states ""statistically significant superiority"", but no formal tracking, p-values, or variance metrics are listed",0,0.5,0,0.5,0,1,1,Low
S9,B. Zhang et al.,2025,LLM-coordination in auto-bidding of frequency regulation: Cross-attention distributional reinforcement agentic learning,Applied Energy,NEM; Regulation FCAS; Contingency FCAS; PJM,5-minute,Hybrid (Real energy and FCAS prices; simulated frequency response signals),NEM: 1 Mar 2022 - 1 Mar 2023 (1 year); PJM: 1 Jan 2023 - 1 Jan 2024 (1 year),Model-Free DRL,SAC-based Distributional DRL (Selected); DDPG; DQN; Q-Learning; Dueling Double DQN,MLP,SoC; energy and FCAS price signals over rolling window (5 total: spot price; raise regulation; lower regulation; raise contingency; lower contingency); maximum available FCAS capacities (4 total); ROI threshold,Continuous,Bidding capacities across energy and FCAS markets,Energy arbitrage revenue + raise/lower regulation FCAS revenue + raise/lower contingency FCAS revenue - battery cycle degradation cost - penalty for violating SoC or bidding capacity limits - penalty for ROI below user-defined threshold,Cycle Counting (DoD informed),FCAS + Spot,Oracle MILP (Perfect Forecast); MPC (Predict-then-Optimize),9 Months,No,Not Stated,Validated across SA NEM and PJM over one year; no seed-based variance reported,0.5,1,0,0.5,1,1,3,Moderate
S10,A.J. Jimenez et al.,2025,Leveraging AI Algorithms for Automated Bidding in Electricity Markets: A Solar-Storage Hybrid Approach With Blockchain-Based Energy Tokenization,2025 IEEE Electrical Insulation Conference (EIC),Virtual,Not stated,"Hybrid (Real market prices, weather forecasts, and grid frequency signals; simulated environment)",Not Specified,Model-Free DRL,DQN (Selected),DNN,Real-time market prices; Historical data; Weather forecasts; SoC; Daily battery cycling constraints,Discrete,"Market product selection, bid price, and bid quantity",Revenue gains + penalty avoidance - battery degradation costs (qualitative only; no equation provided),None,Energy Only,Rule-based,Not stated,No,Not Stated,None,0,0.5,0,0.5,0,1,1,Low
