"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ZJGM3QKX,conferencePaper,2022,"Mohammadi, S.; Hesamzadeh, M.R.",A Machine Learning Approach for Prosumer Management in Intraday Electricity Markets,,,,10.1109/COMPENG50184.2022.9905458,https://www.scopus.com/pages/publications/85141077948?origin=resultslist,2022,2026-05-12 02:50:08,2026-06-11 02:27:05,,,,,,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage system; Battery energy storage systems; Battery storage; Digital storage; Electric batteries; Electricity prices; intraday electricity market; Intraday electricity market; Learning algorithms; Learning systems; machine learning; Machine learning approaches; Machine-learning; Markov processes; Optimization; Power markets; Power price; prosumer; Prosumer; reinforcement learning; Reinforcement learning; Reinforcement learnings; solar energy; Solar energy; Uncertainty; Wind electricity; wind power; Wind power; Q-learning; Electricity supply industry; Wind power generation; Radiation effects; E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022 IEEE Workshop on Complexity in Engineering, COMPENG 2022",,,,,,,,,,,,,,,
V62B2XSI,conferencePaper,2025,"Sayed, S.T.; Sayed, K.; Khamis, M.; Mohamed, M.A.",AI-Driven Control and Optimization in DC PV-Wind-Battery Microgrids,,,,10.1109/MEPCON66918.2026.11360235,https://www.scopus.com/pages/publications/105033219500?origin=resultslist,2025,2026-05-12 02:50:08,2026-06-14 12:48:59,,,,2025,,,,,,,,,,,,,,Scopus,,,,,,,Battery storage; Digital storage; Learning algorithms; Learning systems; Machine-learning; Optimization; Reinforcement learning; Reinforcement learnings; Artificial intelligence; Artificial Neural Networks; Battery energy storage; Battery management systems; Behavioral research; Decision making; Deep learning; Direct current; Direct-current; Electric load dispatching; Electric machine control; Energy forecasting; Forecasting; Machine learning; Microgrids; Neural-networks; photovoltaic; Photovoltaics; Power control; Reinforcement Learning; Renewable energies; Renewable energy forecasting; Secondary batteries; Support vector machines; Support Vector Machines; Support vectors machine; Unsupervised learning; Voltage regulators; Real-time systems; Renewable energy sources; Power system stability; Batteries; Power system reliability; E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the International Middle East Power System Conference, MEPCON",,,,,,,,,,,,,,,
J5RKB4JJ,journalArticle,2021,,"2nd International Conference on Neural Computing for Advanced Applications, NCAA 2021",Communications in Computer and Information Science,,,,https://www.scopus.com/pages/publications/85115168368?origin=resultslist,2021,2026-05-12 02:50:08,2026-06-11 07:02:52,,,,,1449,,,,,,,,,,,,,Scopus,,,,,,,E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE4BIH4R,journalArticle,2021,"Dong, Y.; Dong, Z.; Zhao, T.; Ding, Z.",A Strategic Day-ahead bidding strategy and operation for battery energy storage system by reinforcement learning,Electric Power Systems Research,,,10.1016/j.epsr.2021.107229,https://www.scopus.com/pages/publications/85104141273?origin=resultslist,2021,2026-05-12 02:50:08,2026-07-10 05:13:15,,,,,196,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage system; Battery energy storage systems; Battery storage; Markov processes; Power markets; Reinforcement learning; Reinforcement learnings; Secondary batteries; Approximation algorithms; Battery energy storage system (BESS); Bidding strategy; Day-ahead; E. automations; Markov Decision Processes; Power market bidding; Profitability; Smart grid; Stochastic models; Stochastic systems; Total profits; MODEL; CARBON CAPTURE; ELECTRICITY MARKETS; POWER; RISK; STATE; Include; Full-text info extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6KCBEHIZ,journalArticle,2025,"Zhang, B.; Li, C.; Chen, G.; Xu, Z.; Dong, Z.",LLM-coordination in auto-bidding of frequency regulation: Cross-attention distributional reinforcement agentic learning,Applied Energy,,,10.1016/j.apenergy.2025.126702,https://www.scopus.com/pages/publications/105016721332?origin=resultslist,2025,2026-05-12 02:50:09,2026-07-10 03:41:04,,,,,401,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Digital storage; Learning algorithms; Learning systems; machine learning; Power markets; Reinforcement learnings; Deep learning; Bidding strategy; Profitability; algorithm; Ancillary services markets; Australia; Capital investment; Cross-attention; data set; Distributional deep reinforcement learning; energy storage; Frequency regulation; Frequency regulations; Investments; Language model; Large language model coordination; market system; Multi agent systems; numerical model; optimization; profitability; ENERGY; OPERATION; Include; Full-text info extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PBBJRWS,journalArticle,2025,"Sage, M.; Zhao, Y.F.",Deep reinforcement learning for economic battery dispatch: A comprehensive comparison of algorithms and experiment design choices,Journal of Energy Storage,,,10.1016/j.est.2025.115428,https://www.scopus.com/pages/publications/85218621363?origin=resultslist,2025,2026-05-12 02:50:09,2026-07-10 04:19:07,,,,,115,,,,,,,,,,,,,Scopus,,,,,,,Battery storage; Reinforcement learning; Reinforcement learnings; Battery energy storage; Renewable energies; Comprehensive comparisons; Data based controls; Data-based control; Deep reinforcement learning; Economic dispatch; Economic Dispatch; Experiment design; Model experiments; Reinforcement learning models; Renewable energy; Time counters; WIND; REANALYSIS; ENERGY-STORAGE SYSTEM; Include; Full-text info extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HITVW4QY,conferencePaper,2025,"Kuang, D.; Ruan, Y.; Meng, H.; Xu, T.; Yao, Y.; Wang, C.; Liu, W.",Optimal Dispatch of Integrated Energy Systems Based on Deep Reinforcement Learning,,,,,https://www.scopus.com/pages/publications/105031481042?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-14 12:54:02,,,,,60,,,,,,,,,,,,,Scopus,,,,,,,DQN; economic dispatch; integrated energy system; TD3; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Proceedings,,,,,,,,,,,,,,,
4AB5E5QL,journalArticle,2023,,"Energy Storage Conference 2023, ESC 2023",IET Conference Proceedings,,,,https://www.scopus.com/pages/publications/85188308790?origin=resultslist,2023,2026-05-12 02:50:09,2026-06-11 07:03:18,,,,28,2023,,,,,,,,,,,,,Scopus,,,,,,,E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCAM496D,journalArticle,2025,"Li, F.; Hou, H.; Ni, T.; Wang, P.; Wang, Y.; Li, Z.; Pouresmaeil, E.",A novel deep reinforcement learning framework for optimal scheduling of low-carbon integrated energy systems considering battery degradation,Energy,,,10.1016/j.energy.2025.139476,https://www.scopus.com/pages/publications/105023830938?origin=resultslist,2025,2026-05-12 02:50:09,2026-06-11 06:20:32,,,,,341,,,,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Battery storage; Digital storage; Learning systems; machine learning; Reinforcement learning; Reinforcement learnings; Deep learning; Electric load dispatching; Neural-networks; Secondary batteries; Stochastic systems; energy storage; Deep reinforcement learning; Economic Dispatch; Renewable energy; alternative energy; artificial neural network; battery; Battery energy storage system degradation; Carbon; Improved diffusion neural network; Integrated energy systems; Low-carbon economic; Low-carbon economic dispatch; Neural networks; penetration; System degradation; Transfer learning; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45BTC48D,journalArticle,2021,"Tang, H.; Liu, C.; Yang, M.; Tang, B.-Q.; Xu, D.; Lv, K.",Learning-based Optimization of Active Distribution System Dispatch in Industrial Park Considering the Peak Operation Demand of Power Grid,Zidonghua Xuebao/Acta Automatica Sinica,,,10.16383/j.aas.c190079,https://www.scopus.com/pages/publications/85119889111?origin=resultslist,2021,2026-05-12 02:50:09,2026-06-11 07:17:28,,2449-2463,,10,47,,,考虑电网调峰需求的工业园区主动配电系统调度学习优化,,,,,,,,,,Scopus,,,,,,,Battery energy storage systems; Markov processes; Reinforcement learning; Electric load dispatching; Photovoltaics; Stochastic models; Stochastic systems; Active distribution system; Active distribution systems; Charging (batteries); Dynamic programming; Electric power transmission networks; Electric vehicles; Energy storage; Flexible loads; Flow batteries; Industrial parks; Multiple type of flexible load; Multiple types of flexible load; Peak operation; Power grids; Scheduling; Vanadium redox batteries; Vanadium redox battery  energy storage system; Vanadium redox battery (VRB) energy storage system; E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
